period,inventory_bucket,count,forward_5d,forward_10d,forward_20d
2010-2020 development,low,925.0,-0.017887783783784153,-0.02561448648648722,-0.12373859459459605
2010-2020 development,normal,921.0,0.06317502714440762,0.1140119435396296,0.17800195439739167
2010-2020 development,high,922.0,0.13691127982646412,0.28519414316702796,0.7151236442516266
2021-2025 validation,low,697.0,0.6506886657101867,1.3008530846484936,2.481358680057389
2021-2025 validation,normal,527.0,-0.03913690036900385,-0.07911210428305405,0.08187286527514258
2021-2025 validation,high,19.0,0.29302105263157996,0.8104631578947383,1.0537894736842137
