strategy,period,annualized_return,annualized_volatility,sharpe,sortino,maximum_drawdown,calmar,net_pnl,gross_pnl,costs,trade_count,win_rate,average_winner,average_loser,profit_factor,exposure,spread_unit_turnover_per_year
July-October seasonal,2010-2020 development,0.029548347398843947,0.050870373072351906,0.5808557243489826,0.8770325031224693,-0.07662642922078644,0.3856156119934187,324562.8000000001,343417.2000000002,18854.399999999998,11,0.8181818181818182,43154.711111111144,-31914.800000000097,6.084832115507525,0.3406791907514451,20.393063583815028
July-October seasonal,2021-2025 validation,0.032727477434679415,0.05416614328219619,0.6042054215337974,0.9149382208482763,-0.1082579535432846,0.30231014316739363,164027.00000000047,169671.80000000045,5644.799999999999,5,0.8,55749.75000000007,-58971.9999999998,3.7814386488503193,0.342042755344418,14.365795724465558
July-October seasonal,2010-2025 full,0.030544438005457735,0.05191884928576046,0.5883111514537172,0.889052482386128,-0.0853186548999989,0.3580042142162057,488589.8000000005,513089.0000000005,24499.199999999997,16,0.8125,47030.10769230774,-40933.86666666667,4.978692460033098,0.34110642520466383,18.504589431902755
Original momentum-inventory,2010-2020 development,-0.004115684393063587,0.04735460270146947,-0.08691202456093826,-0.1190100000966285,-0.18849572778561463,-0.02183436431909245,-45207.20000000002,-18135.20000000001,27072.0,43,0.46511627906976744,15012.950000000003,-15020.269565217392,0.869141467385232,0.31141618497109824,67.1878612716763
Original momentum-inventory,2021-2025 validation,0.040322394299287516,0.08752571488214757,0.4606919732513032,0.6755116046178413,-0.11316926580158226,0.35630163378442414,202092.00000000052,208773.60000000056,6681.599999999999,19,0.3684210526315789,42862.800000000054,-8162.299999999991,3.0632664812614165,0.33808392715756136,32.72209026128266
Original momentum-inventory,2010-2025 full,0.009807732473331712,0.06277207985682458,0.15624354801851315,0.22280895161094186,-0.18849572778561463,0.052031590256976665,156884.80000000045,190638.40000000052,33753.6,62,0.43548387096774194,22233.2814814815,-12668.965714285712,1.3538112706460659,0.3197717687918631,56.38898536343339
