slippage_ticks_per_contract_side,fee_per_contract_side,annualized_return,sharpe,maximum_drawdown,total_costs
0.5,0.0,0.031509652393946944,0.6069860793531954,-0.0840131397751932,9059.6
0.5,2.5,0.031110803473083638,0.59927315971941,-0.08454981766374192,15439.599999999999
0.5,5.0,0.030711954552220325,0.5915545810410562,-0.08509042074144046,21819.6
1.0,0.0,0.03094328692632104,0.5960320313365174,-0.08477639039095508,18119.2
1.0,2.5,0.030544438005457735,0.5883111514537172,-0.0853186548999989,24499.199999999997
1.0,5.0,0.030145589084594426,0.5805849727510389,-0.08586490616055242,30879.199999999997
2.0,0.0,0.029810555991069247,0.5740910736578968,-0.08632687044554244,36238.4
2.0,2.5,0.02941170707020594,0.5663558095267751,-0.08688057310532704,42618.399999999994
2.0,5.0,0.02901285814934263,0.5586159693879812,-0.08743838955797256,48998.399999999994
